E1111 02:34:05.075698  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 22: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.087705  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 22: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.116016  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 25: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.119571  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 25: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.154042  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 28: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.156498  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 28: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.191232  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 31: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.195331  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 31: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.212766  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 34: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.214821  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 34: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.231901  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 37: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.235941  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 37: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.257827  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 40: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.261035  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 40: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.276089  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 43: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.278924  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 43: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.308492  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 46: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.315087  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 46: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.348720  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 49: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.357044  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 49: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.358031  179064 kafka_exporter.go:535] Cannot get consumer group: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.729306  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ELECFENSEDETECT_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.731343  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.764320  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO_T partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.765328  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.767033  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.778054  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_WIFI_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
